id,Director,Actor,Type,Nation,Weight,idI
0.5毫米,安藤桃子,安藤樱;织本顺吉;木内みどり;土屋希望;井上竜夫;东出昌大;柳原晴郎;角替和枝;浅田美代子;坂田利夫;柄本明;草笛光子;津川雅彦,剧情,日本,2,0
0.5的爱情,邢潇,蒲巴甲;江语晨;李悦铭;龚洁,爱情,中国大陆,2,1
007：幽灵党,萨姆·门德斯,丹尼尔·克雷格;克里斯托弗·沃尔兹;蕾雅·赛杜;本·卫肖;娜奥米·哈里斯;戴夫·巴蒂斯塔;莫妮卡·贝鲁奇;拉尔夫·费因斯;斯黛芬妮·西格曼;安德鲁·斯科特;罗里·金奈尔;内芙·加切夫;加斯帕·克里斯滕森;丹尼尔·斯蒂森;丹尼尔·韦斯特伍德;拉斯科·阿特金斯,动作;惊悚;冒险,英国;美国,5,2
10分钟,李容承,白钟焕;Jong-gu Kim;郑熙泰,剧情,韩国,2,3
10年计划,J.C. Calciano,杰克·特纳;迈克尔·亚当·汉密尔顿;内森·彼得森;泰瑞·里维斯;Moronai Kanekoa;Teri Reeves;Adam Bucci;Ben Palacios;Trevor Kuhn;Michael Rothhaar;黛布拉·威尔逊,喜剧;同性,美国,3,4
11-12-13至死不渝,Sarawut Wichiensarn,苏格拉瓦·卡那诺;Nutthasit Kotimanuswanich;阿芮根妲·马哈乐沙空;Mek Mekwattana,喜剧;恐怖,泰国,3,5
11时,金炫锡,郑在咏;金玉彬;丹尼尔·崔;李代延;朴哲民;申多恩;吴光禄,惊悚,韩国,2,6
人性,米歇尔·贡德里,帕特丽夏·阿奎特;瑞斯·伊凡斯;蒂姆·罗宾斯;米兰达·奥图,剧情;喜剧,法国;美国,4,7
人烟之岛,费奥多尔·邦达尔丘克,瓦西里·斯蒂潘诺夫;俞莉亚·斯尼吉尔;彼得·费奥多罗夫;谢尔盖·加尔马什;Yuriy Kutsenko,动作;科幻;冒险,俄罗斯,4,8
人烟之岛2：战斗,费奥多尔·邦达尔丘克,瓦西里·斯蒂潘诺夫;俞莉亚·斯尼吉尔;彼得·费奥多罗夫;谢尔盖·加尔马什;=,动作;科幻;冒险,俄罗斯,4,9
人熊传奇,Stewart Raffill,Bryan Brown;Oliver Tobias;Tom Jackson,冒险,英国;加拿大;美国,4,10
人狼游戏2：野兽阵营,熊坂出,土屋太凤;森川葵;青山美乡;藤原季节;佐久间由衣;小野花梨;加藤谅;育乃介;国岛直希;樱田通,惊悚,日本,2,11
人狼游戏：爱人,绫部真弥,古畑星夏;佐生雪;平田雄也;沟口惠;前田航基;森高爱;春川芽生;安藤瑠一;铃木知寻;中村萌;池田纯矢,剧情;惊悚,日本,3,12
人狼游戏：疯狂的狐狸,绫部真弥,高月彩良;富手麻妙;柾木玲弥;斎藤嘉樹;萩原实里;富田佳辅;長村航希;村上穂乃佳;水石亜飛夢;奥村秀人;山根綺;藤井武美,恐怖,日本,2,13
人狼游戏：越狱,绫部真弥,小岛梨里杏;渡边佑太朗;山谷花纯;清水尚弥;冈本夏美;花影香音;篠田諒;金子大地;小山莉奈;濱正悟;池田和樹;梅村紗瑛,动作;惊悚,日本,3,14
人生,泰德·戴米,艾迪·墨菲;马丁·劳伦斯;奥巴·巴巴图德,剧情;喜剧;犯罪,美国,4,15
人生不再重来,卓娅·阿赫塔尔,赫里尼克·罗斯汉;阿佩·代沃尔;法尔汉·阿赫塔尔;卡特莉娜·卡芙;卡尔奇·克什兰;艾妮安娜·卡布罗尔;纳萨鲁丁·沙,剧情,印度,2,16
人生密密缝,荻上直子,生田斗真;桐谷健太;柿原玲佳;米姆拉;小池荣子;门胁麦;田中美佐子;柏原收史;高桥枫翔;品川彻;江口德子;込江海翔,剧情;同性;家庭,日本,4,17
人生的约定,石桥冠,竹野内丰;江口洋介;松坂桃李;优香;小池荣子;柄本明;北野武;美保纯;室井滋;西田敏行;高桥光,剧情,日本,2,18
人皮交易,吕翼谋,彼得·威勒;朗·普尔曼;杜夫·龙格尔;迈克尔·加·怀特;卢靖姗;托尼·贾;田川洋行;柯南·史蒂文斯;麦克·多普德;Chloe Babcook;Leo Rano;斯蒂文·埃尔德;Tasya Teles;Natalie Lorence;Michael G Selby,动作;惊悚;犯罪,美国;泰国;加拿大,6,19
人皮脸,亚历山大·布斯蒂罗;朱利安·莫利,斯蒂芬·多尔夫;莉莉·泰勒;萨姆·斯特里克;凡妮莎·格拉斯;菲恩·琼斯;萨姆·科尔曼;杰西卡·马德森;詹姆斯·布鲁尔;克里斯托弗·亚当森;迪莫·亚历克谢夫;内森·库珀;德扬·安格洛夫;鲍里斯·卡巴切夫,惊悚;恐怖,美国,3,20
