source,target,value,sourceI,targetI,flag
007：幽灵党,X战警：逆转未来,36,2,71,0
007：幽灵党,伦敦陷落,36,2,414,0
007：幽灵党,全面回忆,35,2,534,0
007：幽灵党,刺客信条,36,2,664,0
007：幽灵党,勒索风云,35,2,710,0
007：幽灵党,大侦探福尔摩斯,35,2,1111,0
007：幽灵党,大侦探福尔摩斯2：诡影游戏,35,2,1112,0
007：幽灵党,小飞侠：幻梦启航,36,2,1464,0
007：幽灵党,幸存者,36,2,1589,0
007：幽灵党,幻世追踪,35,2,1595,0
007：幽灵党,异能,36,2,1623,0
007：幽灵党,惊天解密,36,2,1782,0
007：幽灵党,敢死队3,35,2,2034,0
007：幽灵党,新铁血战士,35,2,2077,0
007：幽灵党,星际传奇3,36,2,2168,0
007：幽灵党,普罗米修斯,36,2,2193,0
007：幽灵党,木星上行,36,2,2279,0
007：幽灵党,极品飞车,36,2,2369,0
007：幽灵党,死亡占卜,35,2,2477,0
007：幽灵党,汉娜,32,2,2542,0
007：幽灵党,沉睡魔咒,36,2,2550,0
007：幽灵党,法老与众神,36,2,2568,0
007：幽灵党,泰山归来：险战丛林,36,2,2573,0
007：幽灵党,牛仔和外星人,37,2,2814,0
007：幽灵党,特种部队：眼镜蛇的崛起,35,2,2826,0
007：幽灵党,特警判官,36,2,2828,0
007：幽灵党,王牌特工2：黄金圈,36,2,2914,0
007：幽灵党,王牌特工：特工学院,36,2,2915,0
007：幽灵党,玩命直播,35,2,2923,0
007：幽灵党,碟中谍4,35,2,3101,0
007：幽灵党,碟中谍5：神秘国度,35,2,3102,0
007：幽灵党,神奇四侠2015,36,2,3119,0
007：幽灵党,秘密特工,36,2,3177,0
007：幽灵党,移动迷宫,33,2,3181,0
007：幽灵党,空中营救,36,2,3184,0
007：幽灵党,第五波,35,2,3230,0
007：幽灵党,终结者2018,32,2,3300,0
007：幽灵党,绝命反击,35,2,3312,0
007：幽灵党,罪恶赎金,36,2,3357,0
007：幽灵党,蝙蝠侠：黑暗骑士崛起,36,2,3595,0
007：幽灵党,超人：钢铁之躯,36,2,3756,0
007：幽灵党,超能失控,36,2,3774,0
007：幽灵党,超脑48小时,36,2,3780,0
007：幽灵党,通勤营救,36,2,3881,0
007：幽灵党,银河护卫队,36,2,4000,0
007：幽灵党,阿凡达,36,2,4042,0
007：幽灵党,鲨海,36,2,4275,0
127小时,一年级生,36,7,101,0
127小时,万物理论,36,7,135,0
127小时,丹麦女孩,36,7,254,0
127小时,为奴十二年,36,7,259,0
127小时,云中行走,35,7,303,0
127小时,众神与野兽,36,7,398,0
127小时,动物园长的夫人,36,7,698,0
127小时,史蒂夫·乔布斯,33,7,843,0
127小时,哈利·波特与死亡圣器(下),36,7,916,0
127小时,国王的演讲,36,7,983,0
127小时,大梦想家,36,7,1128,0
127小时,天才捕手,36,7,1165,0
127小时,少年派的奇幻漂流,36,7,1482,0
127小时,星际穿越,36,7,2172,0
127小时,暴风前夕,36,7,2221,0
127小时,极速风流,36,7,2380,0
127小时,模仿游戏,36,7,2437,0
127小时,法老与众神,36,7,2568,0
127小时,火星救援,36,7,2695,0
127小时,灾难艺术家,37,7,2722,0
127小时,盗梦空间,36,7,3052,0
127小时,神奇动物在哪里,36,7,3118,0
127小时,移动迷宫,37,7,3181,0
127小时,绝命海拔,32,7,3314,0
127小时,维多利亚与阿卜杜勒,36,7,3328,0
127小时,联合王国,36,7,3421,0
127小时,至暗时刻,36,7,3449,0
127小时,菲利普船长,35,7,3535,0
127小时,菲洛梅娜,36,7,3536,0
127小时,詹姆斯·迪恩,37,7,3654,0
127小时,迷失Z城,35,7,3844,0
127小时,雪山奇迹,35,7,4097,0
127小时,飞鹰艾迪,36,7,4157,0
13骇人游戏,最后一次驱魔,36,11,2231,0
1922,九死,35,12,285,0
1922,嗜血破晓,35,12,952,0
1995穿越时间,初恋这件小事,37,14,648,0
22年后的自白：我是杀人犯,亚人1：冲动,35,16,312,0
22年后的自白：我是杀人犯,审判 真人版,35,16,1368,0
22年后的自白：我是杀人犯,愚行录,35,16,1801,0
22年后的自白：我是杀人犯,攻壳机动队：崛起3,35,16,2025,0
22年后的自白：我是杀人犯,昭和64年 前篇,35,16,2184,0
22年后的自白：我是杀人犯,空之境界 未来福音,35,16,3187,0
22年后的自白：我是杀人犯,赌博默示录2,37,16,3731,0
24小时：末路重生,不眠夜,35,18,186,0
24小时：末路重生,五路追杀令2：刺客舞会,35,18,311,0
24小时：末路重生,人皮交易,35,18,355,0
24小时：末路重生,人类清除计划,33,18,359,0
24小时：末路重生,人类清除计划2：无政府状态,35,18,360,0
24小时：末路重生,人类清除计划3,35,18,361,0
24小时：末路重生,代号47,35,18,386,0
24小时：末路重生,会计刺客,35,18,400,0
24小时：末路重生,伦敦陷落,35,18,414,0
24小时：末路重生,伸冤人,35,18,419,0
24小时：末路重生,侏罗纪世界,36,18,444,0
24小时：末路重生,假小子,35,18,478,0
24小时：末路重生,像素大战,36,18,498,0
24小时：末路重生,全城戒备,35,18,528,0
24小时：末路重生,全面回忆,35,18,534,0
24小时：末路重生,关键第四号,35,18,555,0
24小时：末路重生,再造战士3：重生,35,18,578,0
24小时：末路重生,再造战士4：清算之日,35,18,579,0
24小时：末路重生,别惹我,35,18,654,0
24小时：末路重生,勒索风云,35,18,710,0
24小时：末路重生,双面劫匪,35,18,795,0
24小时：末路重生,变形金刚4：绝迹重生,36,18,810,0
24小时：末路重生,嗜血破晓,33,18,952,0
24小时：末路重生,困斗99号囚室,35,18,977,0
24小时：末路重生,大侦探福尔摩斯,35,18,1111,0
24小时：末路重生,大侦探福尔摩斯2：诡影游戏,35,18,1112,0
24小时：末路重生,大追捕,35,18,1144,0
24小时：末路重生,天地逃生,35,18,1159,0
24小时：末路重生,天际浩劫2,36,18,1177,0
24小时：末路重生,太空一号,35,18,1188,0
24小时：末路重生,奇机少年,34,18,1228,0
24小时：末路重生,宿主,35,18,1383,0
24小时：末路重生,少数派力量,35,18,1490,0
24小时：末路重生,屠杀公园,35,18,1513,0
24小时：末路重生,屠魔战士,35,18,1514,0
24小时：末路重生,幻世追踪,35,18,1595,0
24小时：末路重生,异形终结2：狩猎,35,18,1617,0
24小时：末路重生,异能,35,18,1623,0
24小时：末路重生,弹窗惊魂,35,18,1634,0
24小时：末路重生,忍者神龟2：破影而出,36,18,1673,0
24小时：末路重生,扑克之夜,35,18,1949,0
24小时：末路重生,控制,35,18,1989,0
24小时：末路重生,攻壳机动队,35,18,2021,0
24小时：末路重生,新铁血战士,35,18,2077,0
24小时：末路重生,星际传奇3,35,18,2168,0
24小时：末路重生,暗夜逐仇,35,18,2200,0
24小时：末路重生,未来战警,35,18,2282,0
24小时：末路重生,末日迷踪,35,18,2294,0
24小时：末路重生,机械战警,35,18,2318,0
24小时：末路重生,极品飞车,35,18,2369,0
24小时：末路重生,极盗者,36,18,2375,0
